Municípios,Código municipal,UF,domicílios
Itapuí,3522901,SP,5979
Itapura,3523008,SP,2127
Itapuranga,5211206,GO,13395
Itaquaquecetuba,3523107,SP,138428
Itaquara,2916708,BA,3651
Itaqui,4310603,RS,14767
Itaquiraí,5004601,MS,8388
Itaquitinga,2607802,PE,6382
Itarana,3202900,ES,4603
Itarantim,2916807,BA,7776
Itararé,3523206,SP,19740
Itarema,2306553,CE,15869
Itariri,3523305,SP,8632
Itarumã,5211305,GO,3436
Itati,4310652,RS,1634
Itatiaia,3302254,RJ,15352
Itatiaiuçu,3133709,MG,7891
Itatiba,3523404,SP,51233
Itatiba do Sul,4310702,RS,1635
Itatim,2916856,BA,7066
Itatinga,3523503,SP,7466
Itatira,2306603,CE,9286
Itatuba,2507200,PB,4450
Itaú,2404903,RN,2431
Itaú de Minas,3133758,MG,6550
Itaúba,5104559,MT,2264
Itaubal,1600253,AP,2032
Itauçu,5211404,GO,3577
Itaueira,2205102,PI,4911
Itaúna,3133808,MG,42902
Itaúna do Sul,4111308,PR,1585
Itaverava,3133907,MG,3076
Itinga,3134004,MG,6191
Itinga do Maranhão,2105427,MA,9356
Itiquira,5104609,MT,5869
Itirapina,3523602,SP,7675
Itirapuã,3523701,SP,2572
Itiruçu,2916906,BA,5148
Itiúba,2917003,BA,16652
Itobi,3523800,SP,3567
Itororó,2917102,BA,8387
Itu,3523909,SP,73902
Ituaçu,2917201,BA,8692
Ituberá,2917300,BA,11856
Itueta,3134103,MG,2995
Ituiutaba,3134202,MG,48640
Itumbiara,5211503,GO,47434
Itumirim,3134301,MG,3320
Itupeva,3524006,SP,29380
Itupiranga,1503705,PA,17966
Ituporanga,4208500,SC,10989
Iturama,3134400,MG,17794
Itutinga,3134509,MG,2525
Ituverava,3524105,SP,16467
Iuiu,2917334,BA,4668
Iúna,3203007,ES,13105
Ivaí,4111407,PR,5581
Ivaiporã,4111506,PR,14763
Ivaté,4111555,PR,3318
Ivatuba,4111605,PR,1760
Ivinhema,5004700,MS,12215
Ivolândia,5211602,GO,1719
Ivorá,4310751,RS,916
Ivoti,4310801,RS,9777
Jaboatão dos Guararapes,2607901,PE,294040
Jaborá,4208609,SC,1795
Jaborandi,2917359,BA,5096
Jaborandi,3524204,SP,2719
Jaboti,4111704,PR,2582
Jaboticaba,4310850,RS,1675
Jaboticabal,3524303,SP,33350
Jaboticatubas,3134608,MG,17732
Jaçanã,2405009,RN,3804
Jacaraci,2917409,BA,6683
Jacaraú,2507309,PB,6534
Jacaré dos Homens,2703403,AL,2183
Jacareacanga,1503754,PA,6871
Jacareí,3524402,SP,100009
Jacarezinho,4111803,PR,17217
Jaci,3524501,SP,3139
Jaciara,5104807,MT,12129
Jacinto,3134707,MG,5769
Jacinto Machado,4208708,SC,4807
Jacobina,2917508,BA,42748
Jacobina do Piauí,2205151,PI,3178
Jacuí,3134806,MG,4252
Jacuípe,2703502,AL,2266
Jacuizinho,4310876,RS,1085
Jacundá,1503804,PA,15759
Jacupiranga,3524600,SP,8027
Jacutinga,3134905,MG,12054
Jacutinga,4310900,RS,1531
Jaguapitã,4111902,PR,6683
Jaguaquara,2917607,BA,20911
Jaguaraçu,3135001,MG,1643
Jaguarão,4311007,RS,13251
Jaguarari,2917706,BA,15943
Jaguaré,3203056,ES,12199
Jaguaretama,2306702,CE,7150
Jaguari,4311106,RS,5139
Jaguariaíva,4112009,PR,14995
Jaguaribara,2306801,CE,4267
Jaguaribe,2306900,CE,15444
Jaguaripe,2917805,BA,9800
Jaguariúna,3524709,SP,23793
Jaguaruana,2307007,CE,14412
Jaguaruna,4208807,SC,24733
Jaíba,3135050,MG,15742
Jaicós,2205201,PI,9459
Jales,3524808,SP,22468
Jambeiro,3524907,SP,3383
Jampruca,3135076,MG,2169
Janaúba,3135100,MG,29719
Jandaia,5211701,GO,3457
Jandaia do Sul,4112108,PR,9810
Jandaíra,2405108,RN,2764
Jandaíra,2917904,BA,4597
Jandira,3525003,SP,47344
Janduís,2405207,RN,2040
Jangada,5104906,MT,3149
Janiópolis,4112207,PR,2758
Januária,3135209,MG,29351
Januário Cicco,2405306,RN,4130
Japaraíba,3135308,MG,2154
Japaratinga,2703601,AL,4497
Japaratuba,2803302,SE,7551
Japeri,3302270,RJ,39032
Japi,2405405,RN,2823
Japira,4112306,PR,2354
Japoatã,2803401,SE,6049
Japonvar,3135357,MG,4156
Japorã,5004809,MS,2952
Japurá,1302108,AM,2188
Japurá,4112405,PR,3887
Jaqueira,2607950,PE,4088
Jaquirana,4311122,RS,2289
Jaraguá,5211800,GO,20647
Jaraguá do Sul,4208906,SC,74571
Jaraguari,5004908,MS,4573
Jaramataia,2703700,AL,2073
Jardim,2307106,CE,11454
Jardim,5005004,MS,10344
Jardim Alegre,4112504,PR,5432
Jardim de Angicos,2405504,RN,1051
Jardim de Piranhas,2405603,RN,6192
Jardim do Mulato,2205250,PI,1909
Jardim do Seridó,2405702,RN,5623
Jardim Olinda,4112603,PR,763
Jardinópolis,3525102,SP,19023
Jardinópolis,4208955,SC,753
Jari,4311130,RS,1705
Jarinu,3525201,SP,18349
Jaru,1100114,RO,24078
Jataí,5211909,GO,45373
Jataizinho,4112702,PR,5241
Jataúba,2608008,PE,8552
Jateí,5005103,MS,1896
Jati,2307205,CE,3467
Jatobá,2105450,MA,2899
Jatobá,2608057,PE,6338
Jatobá do Piauí,2205276,PI,1921
Jaú,3525300,SP,58010
Jaú do Tocantins,1711506,TO,1866
Jaupaci,5212006,GO,1586
Jauru,5105002,MT,4165
Jeceaba,3135407,MG,3174
Jenipapo de Minas,3135456,MG,2839
Jenipapo dos Vieiras,2105476,MA,5613
Jequeri,3135506,MG,6348
Jequiá da Praia,2703759,AL,3984
Jequié,2918001,BA,73601
Jequitaí,3135605,MG,3923
Jequitibá,3135704,MG,4292
Jequitinhonha,3135803,MG,10611
Jeremoabo,2918100,BA,18397
Jericó,2507408,PB,3197
Jeriquara,3525409,SP,1604
Jerônimo Monteiro,3203106,ES,5500
Jerumenha,2205300,PI,2090
Jesuânia,3135902,MG,2586
Jesuítas,4112751,PR,4319
Jesúpolis,5212055,GO,1126
Ji-Paraná,1100122,RO,56566
Jijoca de Jericoacoara,2307254,CE,11733
Jiquiriçá,2918209,BA,6051
Jitaúna,2918308,BA,6856
Joaçaba,4209003,SC,13581
Joaíma,3136009,MG,6216
Joanésia,3136108,MG,2532
Joanópolis,3525508,SP,6509
João Alfredo,2608107,PE,14282
João Câmara,2405801,RN,14189
João Costa,2205359,PI,1459
João Dias,2405900,RN,1029
João Dourado,2918357,BA,10401
João Lisboa,2105500,MA,10003
João Monlevade,3136207,MG,33244
João Neiva,3203130,ES,6164
João Pessoa,2507507,PB,377756
João Pinheiro,3136306,MG,21891
João Ramalho,3525607,SP,1905
Joaquim Felício,3136405,MG,2194
Joaquim Gomes,2703809,AL,7013
Joaquim Nabuco,2608206,PE,5394
Joaquim Pires,2205409,PI,5128
Joaquim Távora,4112801,PR,5373
Joca Claudino,2513653,PB,1120
Joca Marques,2205458,PI,1988
Jóia,4311155,RS,3406
Joinville,4209102,SC,248605
Jordânia,3136504,MG,4283
Jordão,1200328,AC,2459
José Boiteux,4209151,SC,2351
José Bonifácio,3525706,SP,16218
José da Penha,2406007,RN,2784
José de Freitas,2205508,PI,16955
José Gonçalves de Minas,3136520,MG,2185
José Raydan,3136553,MG,2109
Joselândia,2105609,MA,6056
Josenópolis,3136579,MG,2005
Joviânia,5212105,GO,3287
Juara,5105101,MT,15842
Juarez Távora,2507606,PB,3469
Juarina,1711803,TO,1111
Juatuba,3136652,MG,15904
Juazeirinho,2507705,PB,7529
Juazeiro,2918407,BA,101721
Juazeiro do Norte,2307304,CE,113276
Juazeiro do Piauí,2205516,PI,2475
Jucás,2307403,CE,10546
Jucati,2608255,PE,4779
Jucuruçu,2918456,BA,5263
Jucurutu,2406106,RN,8540
Juína,5105150,MT,20336
Juiz de Fora,3136702,MG,267747
Júlio Borges,2205524,PI,2479
Júlio de Castilhos,4311205,RS,8519
Júlio Mesquita,3525805,SP,1853
Jumirim,3525854,SP,1397
Junco do Maranhão,2105658,MA,2060
Junco do Seridó,2507804,PB,3100
Jundiá,2406155,RN,1619
Jundiá,2703908,AL,1751
Jundiaí,3525904,SP,183528
Jundiaí do Sul,4112900,PR,1541
Junqueiro,2704005,AL,10214
Junqueirópolis,3526001,SP,8635
Jupi,2608305,PE,6642
Jupiá,4209177,SC,1080
Juquiá,3526100,SP,9305
Juquitiba,3526209,SP,17123
Juramento,3136801,MG,2272
Juranda,4112959,PR,3401
Jurema,2205532,PI,2257
Jurema,2608404,PE,7041
Juripiranga,2507903,PB,4000
Juru,2508000,PB,4515
Juruá,1302207,AM,3248
Juruaia,3136900,MG,5013
Juruena,5105176,MT,4379
Juruti,1503903,PA,16369
Juscimeira,5105200,MT,6623
Jussara,2918506,BA,7974
Jussara,4113007,PR,2886
Jussara,5212204,GO,10039
Jussari,2918555,BA,2955
Jussiape,2918605,BA,3561
Jutaí,1302306,AM,5589
Juti,5005152,MS,3034
Juvenília,3136959,MG,2762
Kaloré,4113106,PR,2181
Lábrea,1302405,AM,13474
Lacerdópolis,4209201,SC,933
Ladainha,3137007,MG,6249
Ladário,5005202,MS,7324
Lafaiete Coutinho,2918704,BA,2452
Lagamar,3137106,MG,3987
Lagarto,2803500,SE,46412
Lages,4209300,SC,71163
Lago da Pedra,2105708,MA,16420
Lago do Junco,2105807,MA,3539
Lago dos Rodrigues,2105948,MA,3391
Lago Verde,2105906,MA,5346
Lagoa,2508109,PB,2068
Lagoa Alegre,2205557,PI,3337
Lagoa Bonita do Sul,4311239,RS,1058
Lagoa d'Anta,2406205,RN,3023
Lagoa da Canoa,2704104,AL,7329
Lagoa da Confusão,1711902,TO,5589
Lagoa da Prata,3137205,MG,21393
Lagoa de Dentro,2508208,PB,3657
Lagoa de Itaenga,2608503,PE,8376
Lagoa de Pedras,2406304,RN,3405
Lagoa de São Francisco,2205573,PI,2547
Lagoa de Velhos,2406403,RN,1225
Lagoa do Barro do Piauí,2205565,PI,2535
Lagoa do Carro,2608453,PE,7841
Lagoa do Mato,2105922,MA,3916
Lagoa do Ouro,2608602,PE,5416
Lagoa do Piauí,2205581,PI,2322
Lagoa do Sítio,2205599,PI,2632
Lagoa do Tocantins,1711951,TO,1445
Lagoa dos Gatos,2608701,PE,7234
Lagoa dos Patos,3137304,MG,1902
Lagoa dos Três Cantos,4311270,RS,779
Lagoa Dourada,3137403,MG,5224
Lagoa Formosa,3137502,MG,9368
Lagoa Grande,2608750,PE,10316
Lagoa Grande,3137536,MG,4207
Lagoa Grande do Maranhão,2105963,MA,4567
Lagoa Nova,2406502,RN,7193
Lagoa Real,2918753,BA,5452
Lagoa Salgada,2406601,RN,3568
Lagoa Santa,3137601,MG,34724
Lagoa Santa,5212253,GO,868
Lagoa Seca,2508307,PB,11758
Lagoa Vermelha,4311304,RS,12860
Lagoão,4311254,RS,2615
Lagoinha,3526308,SP,3303
Lagoinha do Piauí,2205540,PI,1479
Laguna,4209409,SC,27674
Laguna Carapã,5005251,MS,2755
Laje,2918803,BA,10289
Laje do Muriaé,3302304,RJ,3794
Lajeado,1712009,TO,1777
Lajeado,4311403,RS,44610
Lajeado do Bugre,4311429,RS,1095
Lajeado Grande,4209458,SC,649
Lajeado Novo,2105989,MA,2954
Lajedão,2918902,BA,2078
Lajedinho,2919009,BA,2201
Lajedo,2608800,PE,17666
Lajedo do Tabocal,2919058,BA,3531
Lajes,2406700,RN,4364
Lajes Pintadas,2406809,RN,2476
Lajinha,3137700,MG,9753
Lamarão,2919108,BA,4433
Lambari,3137809,MG,10600
Lambari D'Oeste,5105234,MT,2374
Lamim,3137908,MG,1722
Landri Sales,2205607,PI,2687
Lapa,4113205,PR,21165
Lapão,2919157,BA,11076
Laranja da Terra,3203163,ES,5195
Laranjal,3138005,MG,3274
Laranjal,4113254,PR,2263
Laranjal do Jari,1600279,AP,13655
Laranjal Paulista,3526407,SP,12088
Laranjeiras,2803609,SE,9464
Laranjeiras do Sul,4113304,PR,13658
Lassance,3138104,MG,3372
Lastro,2508406,PB,1250
Laurentino,4209508,SC,3273
Lauro de Freitas,2919207,BA,95739
Lauro Müller,4209607,SC,6322
Lavandeira,1712157,TO,874
Lavínia,3526506,SP,2375
Lavras,3138203,MG,47213
Lavras da Mangabeira,2307502,CE,13410
Lavras do Sul,4311502,RS,4335
Lavrinhas,3526605,SP,3033
Leandro Ferreira,3138302,MG,1985
Lebon Régis,4209706,SC,4837
Leme,3526704,SP,41410
Leme do Prado,3138351,MG,2259
Lençóis,2919306,BA,5920
Lençóis Paulista,3526803,SP,27114
Leoberto Leal,4209805,SC,1613
Leopoldina,3138401,MG,24359
Leopoldo de Bulhões,5212303,GO,5485
Leópolis,4113403,PR,1941
Liberato Salzano,4311601,RS,2201
Liberdade,3138500,MG,3086
Licínio de Almeida,2919405,BA,5553
Lidianópolis,4113429,PR,1876
Lima Campos,2106003,MA,4587
Lima Duarte,3138609,MG,9930
Limeira,3526902,SP,124263
Limeira do Oeste,3138625,MG,4006
Limoeiro,2608909,PE,24843
Limoeiro de Anadia,2704203,AL,10089
Limoeiro do Ajuru,1504000,PA,8284
Limoeiro do Norte,2307601,CE,26927
Lindoeste,4113452,PR,2489
Lindóia,3527009,SP,3718
Lindóia do Sul,4209854,SC,1899
Lindolfo Collor,4311627,RS,2604
Linha Nova,4311643,RS,952
Linhares,3203205,ES,74739
Lins,3527108,SP,33359
Livramento,2508505,PB,3453
Livramento de Nossa Senhora,2919504,BA,18697
Lizarda,1712405,TO,1478
Loanda,4113502,PR,9824
Lobato,4113601,PR,2030
Logradouro,2508554,PB,2003
Londrina,4113700,PR,247287
Lontra,3138658,MG,4357
Lontras,4209904,SC,5437
Lorena,3527207,SP,35110
Loreto,2106102,MA,4287
Lourdes,3527256,SP,972
Louveira,3527306,SP,19245
Lucas do Rio Verde,5105259,MT,29669
Lucélia,3527405,SP,7947
Lucena,2508604,PB,9298
Lucianópolis,3527504,SP,1146
Luciara,5105309,MT,1184
Lucrécia,2406908,RN,1496
Luís Antônio,3527603,SP,5005
Luís Correia,2205706,PI,15845
Luís Domingues,2106201,MA,2406
Luís Eduardo Magalhães,2919553,BA,44743
Luís Gomes,2407005,RN,3959
Luisburgo,3138674,MG,3073
Luislândia,3138682,MG,2723
Luiz Alves,4210001,SC,4827
Luiziana,4113734,PR,3036
Luiziânia,3527702,SP,2111
Luminárias,3138708,MG,2855
Lunardelli,4113759,PR,2303
Lupércio,3527801,SP,1703
Lupionópolis,4113809,PR,2412
Lutécia,3527900,SP,1302
Luz,3138807,MG,9222
Luzerna,4210035,SC,2740
Luziânia,5212501,GO,92912
Luzilândia,2205805,PI,9501
Luzinópolis,1712454,TO,1091
Macaé,3302403,RJ,123713
Macaíba,2407104,RN,38169
Macajuba,2919603,BA,5663
Maçambará,4311718,RS,2283
Macambira,2803708,SE,3345
Macapá,1600303,AP,149531
Macaparana,2609006,PE,9322
Macarani,2919702,BA,7954
Macatuba,3528007,SP,6655
Macau,2407203,RN,12928
Macaubal,3528106,SP,3742
Macaúbas,2919801,BA,20045
Macedônia,3528205,SP,1909
Maceió,2704302,AL,403096
Machacalis,3138906,MG,3393
Machadinho,4311700,RS,3064
Machadinho D'Oeste,1100130,RO,15087
Machado,3139003,MG,16551
Machados,2609105,PE,4703
Macieira,4210050,SC,846
Macuco,3302452,RJ,2223
Macururé,2919900,BA,3788
Madalena,2307635,CE,7094
Madeiro,2205854,PI,2590
Madre de Deus,2919926,BA,10009
Madre de Deus de Minas,3139102,MG,2838
Mãe d'Água,2508703,PB,1987
Mãe do Rio,1504059,PA,11584
Maetinga,2919959,BA,3663
Mafra,4210100,SC,24042
Magalhães Barata,1504109,PA,3320
Magalhães de Almeida,2106300,MA,5068
Magda,3528304,SP,1533
Magé,3302502,RJ,110188
Maiquinique,2920007,BA,4156
Mairi,2920106,BA,8770
Mairinque,3528403,SP,26477
Mairiporã,3528502,SP,45401
Mairipotaba,5212600,GO,1659
Major Gercino,4210209,SC,1866
Major Isidoro,2704401,AL,7538
Major Sales,2407252,RN,1576
Major Vieira,4210308,SC,3222
Malacacheta,3139201,MG,8553
Malhada,2920205,BA,6815
Malhada de Pedras,2920304,BA,3848
Malhada dos Bois,2803807,SE,1605
Malhador,2803906,SE,5182
Mallet,4113908,PR,5799
Malta,2508802,PB,2583
Mamanguape,2508901,PB,17368
Mambaí,5212709,GO,3419
Mamborê,4114005,PR,6109
Mamonas,3139250,MG,3547
Mampituba,4311734,RS,1559
Manacapuru,1302504,AM,34985
Manaíra,2509008,PB,5286
Manaquiri,1302553,AM,6877
Manari,2609154,PE,7480
Manaus,1302603,AM,738012
Mâncio Lima,1200336,AC,7067
Mandaguaçu,4114104,PR,13210
Mandaguari,4114203,PR,15633
Mandirituba,4114302,PR,13377
Manduri,3528601,SP,4489
Manfrinópolis,4114351,PR,1279
Manga,3139300,MG,8182
Mangaratiba,3302601,RJ,43765
Mangueirinha,4114401,PR,7277
Manhuaçu,3139409,MG,40171
Manhumirim,3139508,MG,9745
Manicoré,1302702,AM,14248
Manoel Emídio,2205904,PI,2332
Manoel Ribas,4114500,PR,5590
Manoel Urbano,1200344,AC,4010
Manoel Viana,4311759,RS,3456
Manoel Vitorino,2920403,BA,7066
Mansidão,2920452,BA,4865
Mantena,3139607,MG,13010
Mantenópolis,3203304,ES,6733
Maquiné,4311775,RS,5010
Mar de Espanha,3139805,MG,6150
Mar Vermelho,2704906,AL,1384
Mara Rosa,5212808,GO,5250
Maraã,1302801,AM,3853
Marabá,1504208,PA,106660
Marabá Paulista,3528700,SP,1883
Maracaçumé,2106326,MA,7333
Maracaí,3528809,SP,5823
Maracajá,4210407,SC,3046
Maracaju,5005400,MS,17272
Maracanã,1504307,PA,10466
Maracanaú,2307650,CE,95409
Maracás,2920502,BA,12795
Maragogi,2704500,AL,16914
Maragogipe,2920601,BA,17276
Maraial,2609204,PE,4362
Marajá do Sena,2106359,MA,2985
Maranguape,2307700,CE,42065
Maranhãozinho,2106375,MA,3953
Marapanim,1504406,PA,14439
Marapoama,3528858,SP,1543
Maratá,4311791,RS,1311
Marataízes,3203320,ES,25300
Marau,4311809,RS,19725
Maraú,2920700,BA,14373
Maravilha,2704609,AL,4887
Maravilha,4210506,SC,11841
Maravilhas,3139706,MG,3091
Marcação,2509057,PB,3738
Marcelândia,5105580,MT,5134
Marcelino Ramos,4311908,RS,2728
Marcelino Vieira,2407302,RN,3553
Marcionílio Souza,2920809,BA,4844
Marco,2307809,CE,9524
Marcolândia,2205953,PI,3591
Marcos Parente,2206001,PI,2146
Marechal Cândido Rondon,4114609,PR,23856
Marechal Deodoro,2704708,AL,28439
Marechal Floriano,3203346,ES,9112
Marechal Thaumaturgo,1200351,AC,5321
Marema,4210555,SC,873
Mari,2509107,PB,9111
Maria da Fé,3139904,MG,5753
Maria Helena,4114708,PR,2839
Marialva,4114807,PR,18465
Mariana,3140001,MG,28717
Mariana Pimentel,4311981,RS,2390
Mariano Moro,4312005,RS,1087
Marianópolis do Tocantins,1712504,TO,2094
Mariápolis,3528908,SP,1781
Maribondo,2704807,AL,5211
Maricá,3302700,RJ,106494
Marilac,3140100,MG,1942
Marilândia,3203353,ES,5768
Marilândia do Sul,4114906,PR,3643
Marilena,4115002,PR,3932
Marília,3529005,SP,107238
Mariluz,4115101,PR,4285
Maringá,4115200,PR,180117
Marinópolis,3529104,SP,859
Mário Campos,3140159,MG,7158
Mariópolis,4115309,PR,2721
Maripá,4115358,PR,2662
Maripá de Minas,3140209,MG,1544
Marituba,1504422,PA,45933
Marizópolis,2509156,PB,2760
Marliéria,3140308,MG,2671
Marmeleiro,4115408,PR,6570
Marmelópolis,3140407,MG,1626
Marques de Souza,4312054,RS,2276
Marquinho,4115457,PR,2175
Martinho Campos,3140506,MG,7988
Martinópole,2307908,CE,4723
Martinópolis,3529203,SP,11277
Martins,2407401,RN,3991
Martins Soares,3140530,MG,3692
Maruim,2804003,SE,6355
Marumbi,4115507,PR,2187
Marzagão,5212907,GO,1310
Mascote,2920908,BA,5979
Massapê,2308005,CE,15331
Massapê do Piauí,2206050,PI,2506
Massaranduba,2509206,PB,6548
Massaranduba,4210605,SC,7084
Mata,4312104,RS,2489
Mata de São João,2921005,BA,29302
Mata Grande,2705002,AL,10531
Mata Roma,2106409,MA,6227
Mata Verde,3140555,MG,3417
Matão,3529302,SP,32954
Mataraca,2509305,PB,3384
Mateiros,1712702,TO,1042
Matelândia,4115606,PR,7309
Materlândia,3140605,MG,2001
Mateus Leme,3140704,MG,20870
Mathias Lobato,3171501,MG,1433
Matias Barbosa,3140803,MG,6671
Matias Cardoso,3140852,MG,4109
Matias Olímpio,2206100,PI,3928
Matina,2921054,BA,4793
Matinha,2106508,MA,8320
Matinhas,2509339,PB,1983
Matinhos,4115705,PR,44974
Matipó,3140902,MG,8083
Mato Castelhano,4312138,RS,1478
Mato Grosso,2509370,PB,1100
Mato Leitão,4312153,RS,2168
Mato Queimado,4312179,RS,895
Mato Rico,4115739,PR,1492
Mato Verde,3141009,MG,6448
Matões,2106607,MA,12244
Matões do Norte,2106631,MA,4190
Matos Costa,4210704,SC,1184
Matozinhos,3141108,MG,16236
Matrinchã,5212956,GO,2365
Matriz de Camaragibe,2705101,AL,8690
Matupá,5105606,MT,8017
Maturéia,2509396,PB,3235
Matutina,3141207,MG,2055
Mauá,3529401,SP,171109
Mauá da Serra,4115754,PR,3940
Maués,1302900,AM,15847
Maurilândia,5213004,GO,4538
Maurilândia do Tocantins,1712801,TO,1301
Mauriti,2308104,CE,19603
Maxaranguape,2407500,RN,5576
Maximiliano de Almeida,4312203,RS,2055
Mazagão,1600402,AP,7572
Medeiros,3141306,MG,1917
Medeiros Neto,2921104,BA,10816
Medianeira,4115804,PR,21642
Medicilândia,1504455,PA,12394
Medina,3141405,MG,9600
Meleiro,4210803,SC,2978
Melgaço,1504505,PA,6244
Mendes,3302809,RJ,8956
Mendes Pimentel,3141504,MG,2963
Mendonça,3529500,SP,3598
Mercedes,4115853,PR,2381
Mercês,3141603,MG,5316
Meridiano,3529609,SP,2167
Meruoca,2308203,CE,7137
Mesópolis,3529658,SP,944
Mesquita,3141702,MG,3087
Mesquita,3302858,RJ,66725
Messias,2705200,AL,6119
Messias Targino,2407609,RN,1861
Miguel Alves,2206209,PI,11158
Miguel Calmon,2921203,BA,14226
Miguel Leão,2206308,PI,562
Miguel Pereira,3302908,RJ,14438
Miguelópolis,3529708,SP,9240
Milagres,2308302,CE,11325
Milagres,2921302,BA,5349
Milagres do Maranhão,2106672,MA,2951
Milhã,2308351,CE,5785
Milton Brandão,2206357,PI,3031
Mimoso de Goiás,5213053,GO,1573
Mimoso do Sul,3203403,ES,11966
Minaçu,5213087,GO,12840
Minador do Negrão,2705309,AL,2023
Minas do Leão,4312252,RS,3344
Minas Novas,3141801,MG,12464
Minduri,3141900,MG,1757
Mineiros,5213103,GO,31624
Mineiros do Tietê,3529807,SP,5698
Ministro Andreazza,1101203,RO,3412
Mira Estrela,3530003,SP,2346
Mirabela,3142007,MG,6568
Miracatu,3529906,SP,10912
Miracema,3303005,RJ,11720
Miracema do Tocantins,1713205,TO,8857
Mirador,2106706,MA,8406
Mirador,4115903,PR,1021
Miradouro,3142106,MG,4602
Miraguaí,4312302,RS,1981
Miraí,3142205,MG,6202
Miraíma,2308377,CE,5232
Miranda,5005608,MS,10099
Miranda do Norte,2106755,MA,6867
Mirandiba,2609303,PE,6251
Mirandópolis,3530102,SP,11259
Mirangaba,2921401,BA,8034
Miranorte,1713304,TO,5258
Mirante,2921450,BA,4776
Mirante da Serra,1101302,RO,5002
Mirante do Paranapanema,3530201,SP,7382
Miraselva,4116000,PR,907
Mirassol,3530300,SP,27418
Mirassol d'Oeste,5105622,MT,11726
Mirassolândia,3530409,SP,2202
Miravânia,3142254,MG,1922
Mirim Doce,4210852,SC,1109
Mirinzal,2106805,MA,5653
Missal,4116059,PR,4906
Missão Velha,2308401,CE,15790
Mocajuba,1504604,PA,8411
Mococa,3530508,SP,30269
Modelo,4210902,SC,1697
Moeda,3142304,MG,3131
Moema,3142403,MG,3896
Mogeiro,2509404,PB,6484
Mogi das Cruzes,3530607,SP,186123
Mogi Guaçu,3530706,SP,64782
Mogi Mirim,3530805,SP,40245
Moiporá,5213400,GO,1028
Moita Bonita,2804102,SE,5330
Moju,1504703,PA,30029
Mojuí dos Campos,1504752,PA,9912
Mombaça,2308500,CE,19083
Mombuca,3530904,SP,1566
Monção,2106904,MA,9589
Monções,3531001,SP,1081
Mondaí,4211009,SC,4326
Mongaguá,3531100,SP,55788
Monjolos,3142502,MG,1278
Monsenhor Gil,2206407,PI,4730
Monsenhor Hipólito,2206506,PI,3965
Monsenhor Paulo,3142601,MG,4096
Monsenhor Tabosa,2308609,CE,7830
Montadas,2509503,PB,2433
Montalvânia,3142700,MG,6658
Montanha,3203502,ES,8457
Montanhas,2407708,RN,4644
Montauri,4312351,RS,619
Monte Alegre,1504802,PA,24608
Monte Alegre,2407807,RN,10024
Monte Alegre de Goiás,5213509,GO,3789
Monte Alegre de Minas,3142809,MG,10067
Monte Alegre de Sergipe,2804201,SE,6345
Monte Alegre do Piauí,2206605,PI,4372
Monte Alegre do Sul,3531209,SP,4805
Monte Alegre dos Campos,4312377,RS,1757
Monte Alto,3531308,SP,21027
Monte Aprazível,3531407,SP,10926
Monte Azul,3142908,MG,11127
Monte Azul Paulista,3531506,SP,8030
Monte Belo,3143005,MG,6593
Monte Belo do Sul,4312385,RS,1200
Monte Carlo,4211058,SC,3507
Monte Carmelo,3143104,MG,22294
Monte Castelo,3531605,SP,2049
Monte Castelo,4211108,SC,3267
Monte das Gameleiras,2407906,RN,1245
Monte do Carmo,1713601,TO,2747
Monte Formoso,3143153,MG,2055
Monte Horebe,2509602,PB,2254
Monte Mor,3531803,SP,27557
Monte Negro,1101401,RO,5927
Monte Santo,2921500,BA,24887
Monte Santo de Minas,3143203,MG,10624
Monte Santo do Tocantins,1713700,TO,1266
Monte Sião,3143401,MG,11717
Monteiro,2509701,PB,17629
Monteiro Lobato,3531704,SP,2727
Monteirópolis,2705408,AL,2969
Montenegro,4312401,RS,28488
Montes Altos,2107001,MA,3643
Montes Claros,3143302,MG,180227
Montes Claros de Goiás,5213707,GO,5553
Montezuma,3143450,MG,3480
Montividiu,5213756,GO,5306
Montividiu do Norte,5213772,GO,1944
Morada Nova,2308708,CE,28744
Morada Nova de Minas,3143500,MG,5066
Moraújo,2308807,CE,3642
Moreilândia,2614303,PE,4710
Moreira Sales,4116109,PR,5591
Moreno,2609402,PE,23830
Mormaço,4312427,RS,1237
Morpará,2921609,BA,4071
Morretes,4116208,PR,10006
Morrinhos,2308906,CE,9368
Morrinhos,5213806,GO,23986
Morrinhos do Sul,4312443,RS,1653
Morro Agudo,3531902,SP,12274
Morro Agudo de Goiás,5213855,GO,1559
Morro Cabeça no Tempo,2206654,PI,2102
Morro da Fumaça,4211207,SC,7275
Morro da Garça,3143609,MG,1343
Morro do Chapéu,2921708,BA,18502
Morro do Chapéu do Piauí,2206670,PI,2577
Morro do Pilar,3143708,MG,1868
Morro Grande,4211256,SC,1415
Morro Redondo,4312450,RS,3372
Morro Reuter,4312476,RS,2994
Morros,2107100,MA,6965
Mortugaba,2921807,BA,5461
Morungaba,3532009,SP,5595
Mossâmedes,5213905,GO,2681
Mossoró,2408003,RN,123480
Mostardas,4312500,RS,9751
Motuca,3532058,SP,1706
Mozarlândia,5214002,GO,6365
Muaná,1504901,PA,12700
Mucajaí,1400308,RR,7056
Mucambo,2309003,CE,6622
Mucugê,2921906,BA,6165
Muçum,4312609,RS,2273
